season,week,rule,robustness_radius,eliminated_index
33,4,weighted_saturation,1.1890883553873508,3
33,5,weighted_saturation,0.9986808880958405,2
33,6,weighted_saturation,inf,6
33,7,weighted_saturation,inf,3
33,8,weighted_saturation,1.0149613494653902,1
33,9,weighted_saturation,0.7319776237644687,1
34,1,weighted_saturation,0.0,1
34,2,weighted_saturation,1.2920248263697125,3
34,3,weighted_saturation,0.9810657153684911,1
34,4,weighted_saturation,1.4311638449473556,1
34,5,weighted_saturation,inf,1
34,6,weighted_saturation,1.2195176931394065,1
34,7,weighted_saturation,1.7185345863751722,1
34,8,weighted_saturation,1.5781266549979105,1
34,9,weighted_saturation,2.1097815850904733,1
34,10,weighted_saturation,1.0228058931718533,2
34,11,weighted_saturation,1.3778450723287052,2
4,1,weighted_saturation,0.0,1
4,2,weighted_saturation,1.5491882261145333,2
4,3,weighted_saturation,1.7307588157322804,2
4,4,weighted_saturation,inf,2
4,5,weighted_saturation,inf,2
4,6,weighted_saturation,2.183476668806156,5
4,7,weighted_saturation,inf,1
4,8,weighted_saturation,inf,1
4,9,weighted_saturation,0.8766403946931165,1
4,10,weighted_saturation,0.0,0
5,1,weighted_saturation,0.0,11
5,2,weighted_saturation,2.2884963285732445,10
5,3,weighted_saturation,1.9612274231465967,9
5,4,weighted_saturation,1.3640216772826466,6
5,5,weighted_saturation,inf,5
5,6,weighted_saturation,1.6380433878153473,4
5,7,weighted_saturation,1.6490972673978166,2
5,8,weighted_saturation,0.9091525852565344,0
5,9,weighted_saturation,1.3579789668281042,2
5,10,weighted_saturation,1.3495113978938305,1
6,1,weighted_saturation,0.0,8
6,2,weighted_saturation,1.7771510647031674,7
6,3,weighted_saturation,inf,9
6,4,weighted_saturation,1.3057417907229898,0
6,5,weighted_saturation,1.511579218945804,6
6,6,weighted_saturation,1.508590414654606,5
6,7,weighted_saturation,inf,5
6,8,weighted_saturation,inf,0
6,9,weighted_saturation,inf,3
6,10,weighted_saturation,0.5129877137386906,1
7,1,weighted_saturation,0.0,1
7,2,weighted_saturation,1.311694836322089,1
7,3,weighted_saturation,inf,1
7,4,weighted_saturation,1.0178984826309208,5
7,5,weighted_saturation,1.8065304897256174,1
7,6,weighted_saturation,3.051967401743303,1
7,7,weighted_saturation,1.2572415292866443,4
7,8,weighted_saturation,0.6800852098918623,4
7,9,weighted_saturation,0.21986572972273427,1
7,10,weighted_saturation,0.3965191330181,2
8,1,weighted_saturation,0.0,10
8,2,weighted_saturation,1.768880223736805,11
8,3,weighted_saturation,2.5986376592691123,9
8,4,weighted_saturation,2.628295831382214,8
8,5,weighted_saturation,1.76714857037914,7
8,6,weighted_saturation,1.9300711002566187,6
8,7,weighted_saturation,1.2918485501218653,2
8,8,weighted_saturation,0.8312753905216339,5
8,9,weighted_saturation,0.42446509039098357,4
8,10,weighted_saturation,1.3977790064766868,3
8,11,weighted_saturation,0.4618568588315241,1
9,1,weighted_saturation,0.0,15
9,2,weighted_saturation,1.3623551288263214,13
9,3,weighted_saturation,inf,12
9,4,weighted_saturation,1.840372038258096,8
9,5,weighted_saturation,1.1565369816800968,7
9,6,weighted_saturation,0.9193578399663435,7
9,7,weighted_saturation,1.7828068101039811,5
9,8,weighted_saturation,0.8048169900112024,1
9,9,weighted_saturation,1.6573915933782615,0
9,10,weighted_saturation,1.0328090703598494,0
