season,week,rule_regime,n_active,observed_eliminated,model_elim_prob_observed,rank_of_observed_eliminated,map_matches_observed,random_log_prob_observed,random_match_expected,judges_only_log_prob_observed,judges_only_map_matches_observed
29,3,rank,14,2,0.552384697297543,1,True,-2.6390573296152584,0.07142857142857142,0.2742347843828561,True
29,4,rank,13,1,0.41267864182104574,1,True,-2.5649493574615367,0.07692307692307693,0.18120437509387707,True
29,5,rank,12,3,0.503700579587709,1,True,-2.4849066497880004,0.08333333333333333,0.24429743750955624,False
29,6,rank,11,10,0.39667082903556966,1,True,-2.3978952727983707,0.09090909090909091,0.20467978246527294,False
29,7,rank,10,2,0.19560762181301325,1,True,-2.302585092994046,0.1,0.15199031290493234,False
29,8,rank,8,1,0.13729740173146324,4,False,-2.0794415416798357,0.125,0.1343503780479658,False
29,9,rank,7,0,0.2582313571928161,2,False,-1.9459101490553132,0.14285714285714285,0.22225164357011284,False
29,10,rank,6,0,0.09432559414888839,4,False,-1.791759469228055,0.16666666666666666,0.199765079756435,False
3,1,percent,11,8,0.09277387093117363,2,False,-2.3978952727983707,0.09090909090909091,0.09189128489680211,True
3,2,percent,10,7,0.10214882601972736,4,False,-2.302585092994046,0.1,0.10013580168506171,False
3,3,percent,9,1,0.11475676407341395,2,False,-2.1972245773362196,0.1111111111111111,0.11127880192867137,False
3,4,percent,8,6,0.12231319994836097,7,False,-2.0794415416798357,0.125,0.1251473609195552,False
3,5,percent,7,5,0.14872318507503843,2,False,-1.9459101490553132,0.14285714285714285,0.14331738681439513,False
3,7,percent,5,1,0.2130176743378587,1,True,-1.6094379124341003,0.2,0.20186562051140397,True
3,8,percent,4,3,0.2575286515925752,1,True,-1.3862943611198906,0.25,0.2505397190095075,True
30,2,rank,15,8,0.6187157630407242,1,True,-2.70805020110221,0.06666666666666667,0.2743079930783007,True
30,3,rank,14,2,0.04020958701924376,6,False,-2.6390573296152584,0.07142857142857142,0.04199150076220077,False
30,4,rank,13,1,0.5127783927117341,1,True,-2.5649493574615367,0.07692307692307693,0.2744681215676186,True
30,5,rank,11,6,0.02008631003006335,6,False,-2.3978952727983707,0.09090909090909091,0.04344773605704585,False
30,6,rank,10,5,0.1537862160348897,2,False,-2.302585092994046,0.1,0.28542457910174307,True
30,7,rank,9,6,0.47636532163965234,1,True,-2.1972245773362196,0.1111111111111111,0.2910862132835244,True
30,8,rank,8,3,0.14227614107406183,2,False,-2.0794415416798357,0.125,0.29442746722032004,True
30,9,rank,6,4,0.21169617740383723,3,False,-1.791759469228055,0.16666666666666666,0.23293911426030306,False
31,1,rank,16,5,0.3327744448705841,1,True,-2.772588722239781,0.0625,0.20055624340771439,False
31,2,rank,15,11,0.282535488666861,1,False,-2.70805020110221,0.06666666666666667,0.19933954038312002,False
31,3,rank,14,1,0.41603082353071436,1,True,-2.6390573296152584,0.07142857142857142,0.19954310789867055,False
31,4,rank,13,7,0.5479013914414853,1,True,-2.5649493574615367,0.07692307692307693,0.27633981464714014,True
31,5,rank,12,6,0.24192015335125172,2,False,-2.4849066497880004,0.08333333333333333,0.14749094306912341,False
31,6,rank,10,4,0.1123351543771855,3,False,-2.302585092994046,0.1,0.21084890998163366,False
31,7,rank,9,4,0.16613117876382,2,False,-2.1972245773362196,0.1111111111111111,0.20970281725280765,False
